%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -2488.7996898650754, -7316.530623022392, -3999.0400074768077, -8993.872582182, -1873.232647565919, 4102.707398260522, -10090.315054692634, -9219.714608158423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919907900365E9, 0.0, 2022-02-27 10:58:27.900
100.0, -3288.7686239205154, -7693.872772916887, -4310.668028672699, -9440.7286573325, -2478.7414048601872, 3563.471563276239, -10172.547122543709, -9222.575631448703, -4957.326347509187, -8187.086366067692, -1486.9050964003918, 283.2636574821064, -6132.35755352468, -3718.369152351517, -17791.0498131573, -13897.107708109344, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919907900368E9, 0.0, 2022-02-27 10:58:27.900
0.0, -1622.3566677995525, -3480.032501224578, -1516.9234892038692, -4271.865400298286, -866.5994842767101, 1555.8825797894692, -4080.1097846162065, -3472.678777298782, -2966.210599685979, -3895.1490992485406, -713.7135522024098, -105.56728906241526, -3009.282411251356, -1816.7274375829027, -9147.227900889862, -7085.704158032437, 0.006, -0.10400000000000001, 0.988, 192.0, 0.0, 24.0, 126.0, 96.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.645919907988606E9, 0.0, 2022-02-27 10:58:27.988
2.0, -3259.286672983965, -6919.653048473961, -3005.3932077161326, -8694.448613458708, -1788.4748325913947, 3116.6154881257403, -8192.294322525779, -7104.546678608261, -5792.029892448175, -8402.80305180586, -2251.804143405455, -1078.2258007795574, -5600.877773866388, -4346.788447712475, -15665.667136391061, -14263.452799731827, 0.006, -0.10400000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919907994896E9, 0.0, 2022-02-27 10:58:27.994
4.0, -3654.599625420526, -7155.240435032897, -3161.363680525265, -8789.085899482478, -2049.0738211958196, 2838.0456969792485, -8162.56650240022, -6987.088261495622, -3371.38067142733, -7910.751749366731, -2264.2540650670608, -572.808155156154, -5642.854349953455, -4312.90320311823, -14908.278275522982, -13290.34725312558, 0.006, -0.10400000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919908001367E9, 0.0, 2022-02-27 10:58:28.001
6.0, -3158.6367677017174, -6901.570487209617, -2990.68575986454, -8553.766733857005, -1665.3837758760187, 3182.553134268896, -8179.777345630807, -7021.688761912437, -3987.4394521045033, -7635.490016399624, -2231.307593739938, -870.6451500231207, -5562.0751454919755, -4268.1773624631605, -15190.200828337769, -13386.07977462766, 0.009000000000000001, -0.10500000000000001, 0.99, 192.0, 0.0, 48.0, 126.0, 88.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.645919908008258E9, 0.0, 2022-02-27 10:58:28.008
8.0, -3589.7348630112247, -7081.367919608107, -3119.4541596715644, -8834.191719793287, -2015.25563183494, 2892.5168982168316, -8195.691787682985, -7077.568123050705, -5491.890667902311, -8638.256327898065, -2277.0616146399516, -894.4497578680227, -5644.262509854139, -4371.017738702028, -15506.142736213535, -14245.77256986768, 0.009000000000000001, -0.10500000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919908014195E9, 0.0, 2022-02-27 10:58:28.014
10.0, -3416.307677782497, -7032.216433550887, -3090.4862988574864, -8624.107673657856, -1851.909083355556, 3003.426254204065, -8160.912473310527, -6960.400278615985, -2644.747810929753, -7348.493617593482, -2225.5631954149244, -583.0005506277741, -5579.0401195335535, -4229.866472466764, -14776.134762303205, -12847.73800942159, 0.009000000000000001, -0.10500000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919908026595E9, 0.0, 2022-02-27 10:58:28.026
12.0, -3257.319719471898, -6909.214783813332, -3012.3446002417327, -8688.145421522311, -1781.3893295990622, 3125.489130674497, -8228.928831688027, -7123.0315712728, -5785.6596452784115, -8392.94593250107, -2251.8711986388207, -1073.5989896773087, -5598.866116865411, -4326.604822469333, -15664.661307890572, -14261.48584621976, 0.009000000000000001, -0.10500000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919908032756E9, 0.0, 2022-02-27 10:58:28.032
14.0, -3646.463590438794, -7145.27155700583, -3171.2207998300555, -8785.26375118062, -2058.5509608448697, 2844.3041854267344, -8180.3808427311, -7001.90746806949, -3386.646912890305, -7920.564165182611, -2263.561160988946, -562.7722218957213, -5643.815474965033, -4305.080092558872, -14922.71750244111, -13301.97016024234, 0.009000000000000001, -0.10500000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645919908038997E9, 0.0, 2022-02-27 10:58:28.038
