%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
30.0, -747.3752793521022, -4024.4315891780366, -1693.0999390005993, -9886.042462115582, -316.7242189317011, 436.21664478977266, -5089.581619451239, -1369.7149002212168, -1151.785391781973, -5396.2475533780525, -3931.068352588219, -2787.3966440435224, -3383.7858896000257, -2201.937401525665, -9233.483282742893, -14438.824586728168, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873042162E9, 0.0, 2022-02-27 11:31:13.042
32.0, -293.567811676003, -3690.6082857380256, -1412.4961391086745, -9570.547589128922, 75.90652417022278, 658.1024119976058, -5062.267787726854, -1385.3387695954764, -2844.9970895048486, -5505.480528531138, -3568.5007057786834, -2732.5231114057437, -2913.214613582446, -1898.9371536895221, -9327.338257710726, -14841.044228201417, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873042165E9, 0.0, 2022-02-27 11:31:13.042
0.0, -582.7099779498551, -2185.1735931841845, -1033.9022915246835, -5139.783637497859, -376.917466749843, 26.79974160191317, -2735.9205765629504, -842.861931665174, -801.801777100775, -2903.2680872998344, -2046.4586670945487, -1447.8565988369703, -1758.1882188544535, -1186.4976509210649, -4693.911039103394, -7407.70338865559, 0.008, -0.053, 0.489, 192.0, 0.0, 64.0, 126.0, 88.0, 15.0, 72.0, 0.0, 0.0, 0.0, 1.645921873146933E9, 0.0, 2022-02-27 11:31:13.146
2.0, -638.2317111768378, -3958.292777334783, -1631.342069070586, -9810.426510623278, -251.43477337774914, 439.7258686692558, -5118.504776776406, -1234.0845148664137, -992.1492328821699, -5253.79988596438, -3928.229681042395, -2728.6339078705205, -3309.0193043970235, -2118.3642290072717, -9153.553444570714, -14321.030893448698, 0.008, -0.053, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873153113E9, 0.0, 2022-02-27 11:31:13.153
4.0, -415.38481895742643, -3791.2134875313627, -1533.575538823073, -9698.578381368921, -81.15918411721995, 506.9822677352748, -5256.772667976937, -1419.6934008232834, -3280.811402894426, -5671.084603200508, -3649.9951660627326, -2761.222751286358, -2909.884203658605, -1914.8515957417007, -9378.702566469023, -15067.020364644572, 0.008, -0.053, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873168232E9, 0.0, 2022-02-27 11:31:13.168
6.0, -1007.2143086450469, -4225.239661364515, -1930.3190029047732, -10136.650220948484, -603.3406380821035, 195.33189479492842, -5353.600424957326, -1507.1110733879893, -2357.2596737455933, -5920.842995744109, -4084.937761418553, -2904.698598944974, -3405.601192188405, -2299.055731183974, -9455.704326117555, -15096.4129086033, 0.008, -0.053, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873175183E9, 0.0, 2022-02-27 11:31:13.175
8.0, -268.3997474193272, -3676.3031692866293, -1378.4320805587865, -9537.623469546255, 68.19517233314185, 661.3434149436254, -5040.005450249369, -1139.9613189651154, -1599.4237779884074, -5129.010096670401, -3692.2846665721736, -2678.38718633499, -3038.7420104434505, -1907.810796238279, -9136.119083895575, -14341.393332647483, 0.014, -0.106, 0.984, 192.0, 0.0, 56.0, 126.0, 88.0, 15.0, 96.0, 0.0, 0.0, 0.0, 1.645921873182614E9, 0.0, 2022-02-27 11:31:13.182
10.0, -921.6518308701314, -4175.39527122918, -1912.2140898959744, -10119.864060862548, -558.3018730046598, 195.6001157283921, -5481.810031152968, -1677.565476604161, -3937.617413713624, -6188.840411763241, -3872.2162094373957, -2901.278782043312, -3098.2870576723885, -2131.32824079135, -9594.262789996004, -15603.104603660657, 0.014, -0.106, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873190986E9, 0.0, 2022-02-27 11:31:13.190
12.0, -624.3959813590028, -3925.1227885631074, -1627.2964033241753, -9809.174812933781, -262.7000525832239, 457.0037671332082, -5171.411355902119, -1235.291509067, -979.6993112205639, -5226.8436821512805, -3916.58442218118, -2745.73299237883, -3296.547030990962, -2119.9735546080537, -9163.030584219765, -14320.002713203754, 0.014, -0.106, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873197812E9, 0.0, 2022-02-27 11:31:13.197
14.0, -396.58700187051323, -3784.1279845390304, -1518.309297360098, -9694.018625500039, -67.52461999948264, 503.2718781556938, -5217.970039602523, -1413.904299009359, -3245.4509431661304, -5660.020489695131, -3633.7007443548137, -2759.792239641218, -2892.04751158327, -1874.3725865331396, -9377.160296101607, -15050.636535958833, 0.014, -0.106, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873205277E9, 0.0, 2022-02-27 11:31:13.205
16.0, -1003.7721399989296, -4238.494245826512, -1922.5405958343263, -10132.716313924351, -605.4417020609025, 177.249333530585, -5358.450753504128, -1503.378332063953, -2360.7241941361663, -5943.708830321888, -4079.126307860173, -2890.371130749122, -3385.5963809009054, -2313.763179035566, -9451.077515015306, -15098.983359215661, 0.014, -0.106, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921873213297E9, 0.0, 2022-02-27 11:31:13.213
18.0, -266.56690437399203, -3670.4246604948835, -1376.8451067024598, -9537.332896868336, 65.26709380949663, 656.4260311634578, -5057.082183013223, -1148.231464413579, -1578.1002137780445, -5140.253024131421, -3688.9989601372436, -2665.1996571063587, -3029.309574283311, -1918.0925986877203, -9141.058819420197, -14340.946297758377, 0.014, -0.106, 0.988, 192.0, 0.0, 56.0, 126.0, 88.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.645921873220432E9, 0.0, 2022-02-27 11:31:13.220
